"activity" "subject" "measurement" "statistic" "dimension" "value"
"43" "walking" "train" "tGravityAcc" "mean" "X" 0.933317070057096
"44" "walking_upstairs" "train" "tGravityAcc" "mean" "X" 0.872378174930103
"45" "walking_downstairs" "train" "tGravityAcc" "mean" "X" 0.924336230375254
"46" "sitting" "train" "tGravityAcc" "mean" "X" 0.870899899300156
"47" "standing" "train" "tGravityAcc" "mean" "X" 0.940855692081514
"48" "laying" "train" "tGravityAcc" "mean" "X" -0.370854938686567
"49" "walking" "test" "tGravityAcc" "mean" "Y" -0.189780957912097
"50" "walking_upstairs" "test" "tGravityAcc" "mean" "Y" -0.268759574031847
"51" "walking_downstairs" "test" "tGravityAcc" "mean" "Y" -0.171822241287476
"52" "sitting" "test" "tGravityAcc" "mean" "Y" 0.071857995734034
"53" "standing" "test" "tGravityAcc" "mean" "Y" -0.189637522767538
"54" "laying" "test" "tGravityAcc" "mean" "Y" 0.594350912979516
"55" "walking" "train" "tGravityAcc" "mean" "Y" -0.199518178897227
"56" "walking_upstairs" "train" "tGravityAcc" "mean" "Y" -0.28691577583411
"57" "walking_downstairs" "train" "tGravityAcc" "mean" "Y" -0.167095144852028
"58" "sitting" "train" "tGravityAcc" "mean" "Y" 0.122785136286184
"59" "standing" "train" "tGravityAcc" "mean" "Y" -0.182159165492402
"60" "laying" "train" "tGravityAcc" "mean" "Y" 0.632926187069652
"61" "walking" "test" "tGravityAcc" "mean" "Z" -0.0264384787160887
"62" "walking_upstairs" "test" "tGravityAcc" "mean" "Z" -0.123669693229008
"63" "walking_downstairs" "test" "tGravityAcc" "mean" "Z" -0.038043391203381
"64" "sitting" "test" "tGravityAcc" "mean" "Z" 0.131904738775356
"65" "standing" "test" "tGravityAcc" "mean" "Z" 0.0204009151990789
"66" "laying" "test" "tGravityAcc" "mean" "Z" 0.503317463620112
"67" "walking" "train" "tGravityAcc" "mean" "Z" -0.0649048773550457
"68" "walking_upstairs" "train" "tGravityAcc" "mean" "Z" -0.148313217708166
"69" "walking_downstairs" "train" "tGravityAcc" "mean" "Z" -0.0521996569589989
"70" "sitting" "train" "tGravityAcc" "mean" "Z" 0.162123894662294
"71" "standing" "train" "tGravityAcc" "mean" "Z" -0.0273917941389855
"72" "laying" "train" "tGravityAcc" "mean" "Z" 0.57557155056091
"73" "walking" "test" "tBodyAccJerk" "mean" "X" 0.0731737339316129
"74" "walking_upstairs" "test" "tBodyAccJerk" "mean" "X" 0.0734505822969214
"75" "walking_downstairs" "test" "tBodyAccJerk" "mean" "X" 0.0916206223598452
"76" "sitting" "test" "tBodyAccJerk" "mean" "X" 0.076153849587169
"77" "standing" "test" "tBodyAccJerk" "mean" "X" 0.075468957712782
"78" "laying" "test" "tBodyAccJerk" "mean" "X" 0.0825682671290503
"79" "walking" "train" "tBodyAccJerk" "mean" "X" 0.0781529317778793
"80" "walking_upstairs" "train" "tBodyAccJerk" "mean" "X" 0.0781685444347158
"81" "walking_downstairs" "train" "tBodyAccJerk" "mean" "X" 0.0882069647409736
"82" "sitting" "train" "tBodyAccJerk" "mean" "X" 0.0757738529781182
"83" "standing" "train" "tBodyAccJerk" "mean" "X" 0.07485715063377
"84" "laying" "train" "tBodyAccJerk" "mean" "X" 0.0815722575616205
"85" "walking" "test" "tBodyAccJerk" "mean" "Y" 0.00998238899389113
"86" "walking_upstairs" "test" "tBodyAccJerk" "mean" "Y" 0.00490440295949045
"87" "walking_downstairs" "test" "tBodyAccJerk" "mean" "Y" -0.00322121589102381
"88" "sitting" "test" "tBodyAccJerk" "mean" "Y" 0.00523557345498982
"89" "standing" "test" "tBodyAccJerk" "mean" "Y" 0.00888523101716541
"90" "laying" "test" "tBodyAccJerk" "mean" "Y" 0.0107112016761881
"91" "walking" "train" "tBodyAccJerk" "mean" "Y" 0.0121226741316897
"92" "walking_upstairs" "train" "tBodyAccJerk" "mean" "Y" 0.0104508404666636
"93" "walking_downstairs" "train" "tBodyAccJerk" "mean" "Y" 0.00243695730748479
"94" "sitting" "train" "tBodyAccJerk" "mean" "Y" 0.00497487103109658
"95" "standing" "train" "tBodyAccJerk" "mean" "Y" 0.00877429407298399
"96" "laying" "train" "tBodyAccJerk" "mean" "Y" 0.0113483623410661
"97" "walking" "test" "tBodyAccJerk" "mean" "Z" 0.00123049294354839
"98" "walking_upstairs" "test" "tBodyAccJerk" "mean" "Z" -0.00709425056157112
"99" "walking_downstairs" "test" "tBodyAccJerk" "mean" "Z" -0.00838420495773809
"100" "sitting" "test" "tBodyAccJerk" "mean" "Z" -0.00410731471661263
"101" "standing" "test" "tBodyAccJerk" "mean" "Z" -0.00641548605615977
"102" "laying" "test" "tBodyAccJerk" "mean" "Z" -0.00364736361863873
"103" "walking" "train" "tBodyAccJerk" "mean" "Z" -0.00375555256860604
"104" "walking_upstairs" "train" "tBodyAccJerk" "mean" "Z" -0.0055333909217521
"105" "walking_downstairs" "train" "tBodyAccJerk" "mean" "Z" -0.00887530540913793
"106" "sitting" "train" "tBodyAccJerk" "mean" "Z" -0.00186788827412442
"107" "standing" "train" "tBodyAccJerk" "mean" "Z" -0.00387217635462227
"108" "laying" "train" "tBodyAccJerk" "mean" "Z" -0.00532249999608209
"109" "walking" "test" "tBodyGyro" "mean" "X" -0.0433151675165726
"110" "walking_upstairs" "test" "tBodyGyro" "mean" "X" -0.0252961131944798
"111" "walking_downstairs" "test" "tBodyGyro" "mean" "X" -0.101341612095476
"112" "sitting" "test" "tBodyGyro" "mean" "X" -0.0400046946661914
"113" "standing" "test" "tBodyGyro" "mean" "X" -0.0276270984325752
"114" "laying" "test" "tBodyGyro" "mean" "X" -0.0166314081294004
"115" "walking" "train" "tBodyGyro" "mean" "X" -0.0312533147691762
"116" "walking_upstairs" "train" "tBodyGyro" "mean" "X" 0.0209240364789655
"117" "walking_downstairs" "train" "tBodyGyro" "mean" "X" -0.0766623641270639
"118" "sitting" "train" "tBodyGyro" "mean" "X" -0.0378305948293904
"119" "standing" "train" "tBodyGyro" "mean" "X" -0.0263231980185808
"120" "laying" "train" "tBodyGyro" "mean" "X" -0.0167611908027991
"121" "walking" "test" "tBodyGyro" "mean" "Y" -0.0647420858230101
"122" "walking_upstairs" "test" "tBodyGyro" "mean" "Y" -0.0693319879901062
"123" "walking_downstairs" "test" "tBodyGyro" "mean" "Y" -0.0461447231649762
"124" "sitting" "test" "tBodyGyro" "mean" "Y" -0.0703346296040733
"125" "standing" "test" "tBodyGyro" "mean" "Y" -0.0719404272818233
"126" "laying" "test" "tBodyGyro" "mean" "Y" -0.0979956312043575
"127" "walking" "train" "tBodyGyro" "mean" "Y" -0.0713125942324959
"128" "walking_upstairs" "train" "tBodyGyro" "mean" "Y" -0.0969463358755993
"129" "walking_downstairs" "train" "tBodyGyro" "mean" "Y" -0.0559099218163377
"130" "sitting" "train" "tBodyGyro" "mean" "Y" -0.0728027807545334
"131" "standing" "train" "tBodyGyro" "mean" "Y" -0.0660746057299709
"132" "laying" "train" "tBodyGyro" "mean" "Y" -0.091660815198081
"133" "walking" "test" "tBodyGyro" "mean" "Z" 0.0917220728034476
"134" "walking_upstairs" "test" "tBodyGyro" "mean" "Z" 0.0844374813053079
"135" "walking_downstairs" "test" "tBodyGyro" "mean" "Z" 0.0964457295442619
"136" "sitting" "test" "tBodyGyro" "mean" "Z" 0.0759514418063747
"137" "standing" "test" "tBodyGyro" "mean" "Z" 0.0836650240665414
"138" "laying" "test" "tBodyGyro" "mean" "Z" 0.122576525847486
"139" "walking" "train" "tBodyGyro" "mean" "Z" 0.0841943988581277
"140" "walking_upstairs" "train" "tBodyGyro" "mean" "Z" 0.0491202105442125
"141" "walking_downstairs" "train" "tBodyGyro" "mean" "Z" 0.0939252913958722
"142" "sitting" "train" "tBodyGyro" "mean" "Z" 0.0784742074521695
"143" "standing" "train" "tBodyGyro" "mean" "Z" 0.0787782501328239
"144" "laying" "train" "tBodyGyro" "mean" "Z" 0.127147917707889
"145" "walking" "test" "tBodyGyroJerk" "mean" "X" -0.0878835560618952
"146" "walking_upstairs" "test" "tBodyGyroJerk" "mean" "X" -0.104105469604607
"147" "walking_downstairs" "test" "tBodyGyroJerk" "mean" "X" -0.0695720976611905
"148" "sitting" "test" "tBodyGyroJerk" "mean" "X" -0.0948832319185336
"149" "standing" "test" "tBodyGyroJerk" "mean" "X" -0.100461129155075
"150" "laying" "test" "tBodyGyroJerk" "mean" "X" -0.101457328947858
"151" "walking" "train" "tBodyGyroJerk" "mean" "X" -0.0968968860162643
"152" "walking_upstairs" "train" "tBodyGyroJerk" "mean" "X" -0.115634379434529
"153" "walking_downstairs" "train" "tBodyGyroJerk" "mean" "X" -0.0742508688621095
"154" "sitting" "train" "tBodyGyroJerk" "mean" "X" -0.0959456649824261
"155" "standing" "train" "tBodyGyroJerk" "mean" "X" -0.0994459157848617
"156" "laying" "train" "tBodyGyroJerk" "mean" "X" -0.102019624959062
"157" "walking" "test" "tBodyGyroJerk" "mean" "Y" -0.0452121990068548
"158" "walking_upstairs" "test" "tBodyGyroJerk" "mean" "Y" -0.0370180926612527
"159" "walking_downstairs" "test" "tBodyGyroJerk" "mean" "Y" -0.0496904002757143
"160" "sitting" "test" "tBodyGyroJerk" "mean" "Y" -0.0412598892004073
"161" "standing" "test" "tBodyGyroJerk" "mean" "Y" -0.0419899598712406
"162" "laying" "test" "tBodyGyroJerk" "mean" "Y" -0.03801389731527
"163" "walking" "train" "tBodyGyroJerk" "mean" "Y" -0.0443103427345922
"164" "walking_upstairs" "train" "tBodyGyroJerk" "mean" "Y" -0.0393221127075303
"165" "walking_downstairs" "train" "tBodyGyroJerk" "mean" "Y" -0.0519342665009533
"166" "sitting" "train" "tBodyGyroJerk" "mean" "Y" -0.0405964730900187
"167" "standing" "train" "tBodyGyroJerk" "mean" "Y" -0.0424437794962882
"168" "laying" "train" "tBodyGyroJerk" "mean" "Y" -0.0382683832088763
"169" "walking" "test" "tBodyGyroJerk" "mean" "Z" -0.0579666753374798
"170" "walking_upstairs" "test" "tBodyGyroJerk" "mean" "Z" -0.0539430325613588
"171" "walking_downstairs" "test" "tBodyGyroJerk" "mean" "Z" -0.0588719525257143
"172" "sitting" "test" "tBodyGyroJerk" "mean" "Z" -0.0493232638925051
"173" "standing" "test" "tBodyGyroJerk" "mean" "Z" -0.0528522741647744
"174" "laying" "test" "tBodyGyroJerk" "mean" "Z" -0.0634655948080075
"175" "walking" "train" "tBodyGyroJerk" "mean" "Z" -0.0524042952439478
"176" "walking_upstairs" "train" "tBodyGyroJerk" "mean" "Z" -0.0519831673859832
"177" "walking_downstairs" "train" "tBodyGyroJerk" "mean" "Z" -0.052917414205284
"178" "sitting" "train" "tBodyGyroJerk" "mean" "Z" -0.0513023722602862
"179" "standing" "train" "tBodyGyroJerk" "mean" "Z" -0.0518025512964192
"180" "laying" "train" "tBodyGyroJerk" "mean" "Z" -0.0639964642257285
"181" "walking" "test" "tBodyAccMag" "mean" "mag" -0.185612933587746
"182" "walking_upstairs" "test" "tBodyAccMag" "mean" "mag" -0.156596937200552
"183" "walking_downstairs" "test" "tBodyAccMag" "mean" "mag" 0.0164621317664286
"184" "sitting" "test" "tBodyAccMag" "mean" "mag" -0.953534394704684
"185" "standing" "test" "tBodyAccMag" "mean" "mag" -0.947440893270677
"186" "laying" "test" "tBodyAccMag" "mean" "mag" -0.961578850614525
"187" "walking" "train" "tBodyAccMag" "mean" "mag" -0.16078708767832
"188" "walking_upstairs" "train" "tBodyAccMag" "mean" "mag" -0.0754501490696831
"189" "walking_downstairs" "train" "tBodyAccMag" "mean" "mag" 0.137366108163682
"190" "sitting" "train" "tBodyAccMag" "mean" "mag" -0.955067543234837
"191" "standing" "train" "tBodyAccMag" "mean" "mag" -0.95678885018195
"192" "laying" "train" "tBodyAccMag" "mean" "mag" -0.933298701817342
"193" "walking" "test" "tGravityAccMag" "mean" "mag" -0.185612933587746
"194" "walking_upstairs" "test" "tGravityAccMag" "mean" "mag" -0.156596937200552
"195" "walking_downstairs" "test" "tGravityAccMag" "mean" "mag" 0.0164621317664286
"196" "sitting" "test" "tGravityAccMag" "mean" "mag" -0.953534394704684
"197" "standing" "test" "tGravityAccMag" "mean" "mag" -0.947440893270677
"198" "laying" "test" "tGravityAccMag" "mean" "mag" -0.961578850614525
"199" "walking" "train" "tGravityAccMag" "mean" "mag" -0.16078708767832
"200" "walking_upstairs" "train" "tGravityAccMag" "mean" "mag" -0.0754501490696831
"201" "walking_downstairs" "train" "tGravityAccMag" "mean" "mag" 0.137366108163682
"202" "sitting" "train" "tGravityAccMag" "mean" "mag" -0.955067543234837
"203" "standing" "train" "tGravityAccMag" "mean" "mag" -0.95678885018195
"204" "laying" "train" "tGravityAccMag" "mean" "mag" -0.933298701817342
"205" "walking" "test" "tBodyAccJerkMag" "mean" "mag" -0.237173351544978
"206" "walking_upstairs" "test" "tBodyAccJerkMag" "mean" "mag" -0.412947118942675
"207" "walking_downstairs" "test" "tBodyAccJerkMag" "mean" "mag" -0.163692387624738
"208" "sitting" "test" "tBodyAccJerkMag" "mean" "mag" -0.981076791425662
"209" "standing" "test" "tBodyAccJerkMag" "mean" "mag" -0.972931858515038
"210" "laying" "test" "tBodyAccJerkMag" "mean" "mag" -0.979577853575419
"211" "walking" "train" "tBodyAccJerkMag" "mean" "mag" -0.243182988691175
"212" "walking_upstairs" "train" "tBodyAccJerkMag" "mean" "mag" -0.38127785952479
"213" "walking_downstairs" "train" "tBodyAccJerkMag" "mean" "mag" -0.0896983345591278
"214" "sitting" "train" "tBodyAccJerkMag" "mean" "mag" -0.982966618413686
"215" "standing" "train" "tBodyAccJerkMag" "mean" "mag" -0.978738869002911
"216" "laying" "train" "tBodyAccJerkMag" "mean" "mag" -0.979067883653163
"217" "walking" "test" "tBodyGyroMag" "mean" "mag" -0.318522629716532
"218" "walking_upstairs" "test" "tBodyGyroMag" "mean" "mag" -0.20735406242569
"219" "walking_downstairs" "test" "tBodyGyroMag" "mean" "mag" -0.188907287860786
"220" "sitting" "test" "tBodyGyroMag" "mean" "mag" -0.944897951527495
"221" "standing" "test" "tBodyGyroMag" "mean" "mag" -0.929095799830827
"222" "laying" "test" "tBodyGyroMag" "mean" "mag" -0.945435104413408
"223" "walking" "train" "tBodyGyroMag" "mean" "mag" -0.257203964799315
"224" "walking_upstairs" "train" "tBodyGyroMag" "mean" "mag" -0.165519411338164
"225" "walking_downstairs" "train" "tBodyGyroMag" "mean" "mag" -0.104601976301298
"226" "sitting" "train" "tBodyGyroMag" "mean" "mag" -0.94742138466563
"227" "standing" "train" "tBodyGyroMag" "mean" "mag" -0.947207964796215
"228" "laying" "train" "tBodyGyroMag" "mean" "mag" -0.935764661371713
"229" "walking" "test" "tBodyGyroJerkMag" "mean" "mag" -0.486469326477823
"230" "walking_upstairs" "test" "tBodyGyroJerkMag" "mean" "mag" -0.623815676008493
"231" "walking_downstairs" "test" "tBodyGyroJerkMag" "mean" "mag" -0.463187856659524
"232" "sitting" "test" "tBodyGyroJerkMag" "mean" "mag" -0.986915690997963
"233" "standing" "test" "tBodyGyroJerkMag" "mean" "mag" -0.973808504699248
"234" "laying" "test" "tBodyGyroJerkMag" "mean" "mag" -0.981573659888268
"235" "walking" "train" "tBodyGyroJerkMag" "mean" "mag" -0.450009825369331
"236" "walking_upstairs" "train" "tBodyGyroJerkMag" "mean" "mag" -0.601125454923672
"237" "walking_downstairs" "train" "tBodyGyroJerkMag" "mean" "mag" -0.397171015459939
"238" "sitting" "train" "tBodyGyroJerkMag" "mean" "mag" -0.988248275785381
"239" "standing" "train" "tBodyGyroJerkMag" "mean" "mag" -0.980589908020378
"240" "laying" "train" "tBodyGyroJerkMag" "mean" "mag" -0.983166670739161
"241" "walking" "test" "fBodyAcc" "mean" "X" -0.294540792568548
"242" "walking_upstairs" "test" "fBodyAcc" "mean" "X" -0.311470643287898
"243" "walking_downstairs" "test" "fBodyAcc" "mean" "X" -0.0494806268985714
"244" "sitting" "test" "fBodyAcc" "mean" "X" -0.982716887922607
"245" "standing" "test" "fBodyAcc" "mean" "X" -0.978289100733083
"246" "laying" "test" "fBodyAcc" "mean" "X" -0.968327808193668
"247" "walking" "train" "fBodyAcc" "mean" "X" -0.299246289954772
"248" "walking_upstairs" "train" "fBodyAcc" "mean" "X" -0.285477495368322
"249" "walking_downstairs" "train" "fBodyAcc" "mean" "X" 0.0713559405859939
"250" "sitting" "train" "fBodyAcc" "mean" "X" -0.983235173297045
"251" "standing" "train" "fBodyAcc" "mean" "X" -0.982912890618632
"252" "laying" "train" "fBodyAcc" "mean" "X" -0.96623357050462
"253" "walking" "test" "fBodyAcc" "mean" "Y" -0.0479779302057258
"254" "walking_upstairs" "test" "fBodyAcc" "mean" "Y" -0.163527702472505
"255" "walking_downstairs" "test" "fBodyAcc" "mean" "Y" 0.0165795902297619
"256" "sitting" "test" "fBodyAcc" "mean" "Y" -0.945651716354379
"257" "standing" "test" "fBodyAcc" "mean" "Y" -0.935336432838346
"258" "laying" "test" "fBodyAcc" "mean" "Y" -0.962864108901304
"259" "walking" "train" "fBodyAcc" "mean" "Y" -0.0400579863409135
"260" "walking_upstairs" "train" "fBodyAcc" "mean" "Y" -0.12240638059096
"261" "walking_downstairs" "train" "fBodyAcc" "mean" "Y" 0.0737650952372211
"262" "sitting" "train" "fBodyAcc" "mean" "Y" -0.948783229545879
"263" "standing" "train" "fBodyAcc" "mean" "Y" -0.946150893748181
"264" "laying" "train" "fBodyAcc" "mean" "Y" -0.948790913989339
"265" "walking" "test" "fBodyAcc" "mean" "Z" -0.3951612810625
"266" "walking_upstairs" "test" "fBodyAcc" "mean" "Z" -0.403859087158599
"267" "walking_downstairs" "test" "fBodyAcc" "mean" "Z" -0.262449728171024
"268" "sitting" "test" "fBodyAcc" "mean" "Z" -0.955853613588595
"269" "standing" "test" "fBodyAcc" "mean" "Z" -0.952981901785714
"270" "laying" "test" "fBodyAcc" "mean" "Z" -0.969993645065177
"271" "walking" "train" "fBodyAcc" "mean" "Z" -0.320268879986729
"272" "walking_upstairs" "train" "fBodyAcc" "mean" "Z" -0.352435071945573
"273" "walking_downstairs" "train" "fBodyAcc" "mean" "Z" -0.192976080589219
"274" "sitting" "train" "fBodyAcc" "mean" "Z" -0.957480579844479
"275" "standing" "train" "fBodyAcc" "mean" "Z" -0.959054674475983
"276" "laying" "train" "fBodyAcc" "mean" "Z" -0.956210691862118
"277" "walking" "test" "fBodyAccJerk" "mean" "X" -0.286425196154032
"278" "walking_upstairs" "test" "fBodyAccJerk" "mean" "X" -0.401066805742038
"279" "walking_downstairs" "test" "fBodyAccJerk" "mean" "X" -0.130190510361712
"280" "sitting" "test" "fBodyAccJerk" "mean" "X" -0.983854947474542
"281" "standing" "test" "fBodyAccJerk" "mean" "X" -0.975829558834586
"282" "laying" "test" "fBodyAccJerk" "mean" "X" -0.980219864897579
"283" "walking" "train" "fBodyAccJerk" "mean" "X" -0.321121167768654
"284" "walking_upstairs" "train" "fBodyAccJerk" "mean" "X" -0.384993618073159
"285" "walking_downstairs" "train" "fBodyAccJerk" "mean" "X" -0.0476361590971602
"286" "sitting" "train" "fBodyAccJerk" "mean" "X" -0.985698027869362
"287" "standing" "train" "fBodyAccJerk" "mean" "X" -0.981626816149927
"288" "laying" "train" "fBodyAccJerk" "mean" "X" -0.980189178550107
"289" "walking" "test" "fBodyAccJerk" "mean" "Y" -0.163611924388669
"290" "walking_upstairs" "test" "fBodyAccJerk" "mean" "Y" -0.38710223800034
"291" "walking_downstairs" "test" "fBodyAccJerk" "mean" "Y" -0.141035351083571
"292" "sitting" "test" "fBodyAccJerk" "mean" "Y" -0.971843441731161
"293" "standing" "test" "fBodyAccJerk" "mean" "Y" -0.958388878139098
"294" "laying" "test" "fBodyAccJerk" "mean" "Y" -0.972664254394786
"295" "walking" "train" "fBodyAccJerk" "mean" "Y" -0.173139305678834
"296" "walking_upstairs" "train" "fBodyAccJerk" "mean" "Y" -0.35481868269617
"297" "walking_downstairs" "train" "fBodyAccJerk" "mean" "Y" -0.105878566493306
"298" "sitting" "train" "fBodyAccJerk" "mean" "Y" -0.974807063335925
"299" "standing" "train" "fBodyAccJerk" "mean" "Y" -0.966931953151383
"300" "laying" "train" "fBodyAccJerk" "mean" "Y" -0.97089486137882
"301" "walking" "test" "fBodyAccJerk" "mean" "Z" -0.492933167243952
"302" "walking_upstairs" "test" "fBodyAccJerk" "mean" "Z" -0.602911767919321
"303" "walking_downstairs" "test" "fBodyAccJerk" "mean" "Z" -0.376826510175
"304" "sitting" "test" "fBodyAccJerk" "mean" "Z" -0.978797028004073
"305" "standing" "test" "fBodyAccJerk" "mean" "Z" -0.972891029661654
"306" "laying" "test" "fBodyAccJerk" "mean" "Z" -0.977401070260708
"307" "walking" "train" "fBodyAccJerk" "mean" "Z" -0.434049963153246
"308" "walking_upstairs" "train" "fBodyAccJerk" "mean" "Z" -0.586735444993476
"309" "walking_downstairs" "train" "fBodyAccJerk" "mean" "Z" -0.314602839812373
"310" "sitting" "train" "fBodyAccJerk" "mean" "Z" -0.979854031073095
"311" "standing" "train" "fBodyAccJerk" "mean" "Z" -0.977422716790393
"312" "laying" "train" "fBodyAccJerk" "mean" "Z" -0.97631433684435
"313" "walking" "test" "fBodyGyro" "mean" "X" -0.362109013486694
"314" "walking_upstairs" "test" "fBodyGyro" "mean" "X" -0.408927905006157
"315" "walking_downstairs" "test" "fBodyGyro" "mean" "X" -0.255811666394548
"316" "sitting" "test" "fBodyGyro" "mean" "X" -0.975674870224033
"317" "standing" "test" "fBodyGyro" "mean" "X" -0.929640505827068
"318" "laying" "test" "fBodyGyro" "mean" "X" -0.969382140558659
"319" "walking" "train" "fBodyGyro" "mean" "X" -0.342625352351713
"320" "walking_upstairs" "train" "fBodyGyro" "mean" "X" -0.387804415129357
"321" "walking_downstairs" "train" "fBodyGyro" "mean" "X" -0.201783634086511
"322" "sitting" "train" "fBodyGyro" "mean" "X" -0.977875242783826
"323" "standing" "train" "fBodyGyro" "mean" "X" -0.949080252780204
"324" "laying" "train" "fBodyGyro" "mean" "X" -0.960446780433049
"325" "walking" "test" "fBodyGyro" "mean" "Y" -0.425951988348931
"326" "walking_upstairs" "test" "fBodyGyro" "mean" "Y" -0.491062764201911
"327" "walking_downstairs" "test" "fBodyGyro" "mean" "Y" -0.389901050633571
"328" "sitting" "test" "fBodyGyro" "mean" "Y" -0.973174330101833
"329" "standing" "test" "fBodyGyro" "mean" "Y" -0.958267475281955
"330" "laying" "test" "fBodyGyro" "mean" "Y" -0.966120752178771
"331" "walking" "train" "fBodyGyro" "mean" "Y" -0.373186450008817
"332" "walking_upstairs" "train" "fBodyGyro" "mean" "Y" -0.445290581715704
"333" "walking_downstairs" "train" "fBodyGyro" "mean" "Y" -0.28679197429716
"334" "sitting" "train" "fBodyGyro" "mean" "Y" -0.972183939828927
"335" "standing" "train" "fBodyGyro" "mean" "Y" -0.968026748042213
"336" "laying" "train" "fBodyGyro" "mean" "Y" -0.968139785280739
"337" "walking" "test" "fBodyGyro" "mean" "Z" -0.338214254380242
"338" "walking_upstairs" "test" "fBodyGyro" "mean" "Z" -0.295292222497452
"339" "walking_downstairs" "test" "fBodyGyro" "mean" "Z" -0.195446042195476
"340" "sitting" "test" "fBodyGyro" "mean" "Z" -0.959785362179226
"341" "standing" "test" "fBodyGyro" "mean" "Z" -0.950343429605263
"342" "laying" "test" "fBodyGyro" "mean" "Z" -0.968285986927374
"343" "walking" "train" "fBodyGyro" "mean" "Z" -0.299156019251648
"344" "walking_upstairs" "train" "fBodyGyro" "mean" "Z" -0.297544907199814
"345" "walking_downstairs" "train" "fBodyGyro" "mean" "Z" -0.152922530932252
"346" "sitting" "train" "fBodyGyro" "mean" "Z" -0.961503434618974
"347" "standing" "train" "fBodyGyro" "mean" "Z" -0.961498605240175
"348" "laying" "train" "fBodyGyro" "mean" "Z" -0.962619007583511
"349" "walking" "test" "fBodyAccMag" "mean" "mag" -0.277965865165121
"350" "walking_upstairs" "test" "fBodyAccMag" "mean" "mag" -0.292081504854565
"351" "walking_downstairs" "test" "fBodyAccMag" "mean" "mag" 0.0766089178870952
"352" "sitting" "test" "fBodyAccMag" "mean" "mag" -0.951721972551935
"353" "standing" "test" "fBodyAccMag" "mean" "mag" -0.949774215169173
"354" "laying" "test" "fBodyAccMag" "mean" "mag" -0.957424189783985
"355" "walking" "train" "fBodyAccMag" "mean" "mag" -0.274583992340065
"356" "walking_upstairs" "train" "fBodyAccMag" "mean" "mag" -0.248835990713271
